time,input,state_LID,output_LID,state_EXD,output_EXD
time,789507211,790407211,0,790407211,0
time,0,789607211,0,789635329,0
time,0,788807211,0,788864201,0
time,0,788007211,0,788093826,0
time,0,787207211,0,787324204,0
time,0,786407211,0,786555333,0
time,0,785607211,0,785787213,0
time,0,784807211,0,785019843,0
time,0,784007211,0,784253223,0
time,0,783207211,0,783487351,0
time,0,782407211,0,782722227,0
time,0,781607211,0,781957850,0
time,0,780807211,0,781194220,0
time,0,780007211,0,780431336,0
time,0,779207211,0,779669197,0
time,0,778407211,0,778907802,0
time,0,777607211,0,778147150,0
time,0,776807211,0,777387241,0
time,0,776007211,0,776628074,0
time,0,775207211,0,775869649,0
time,0,774407211,0,775111964,0
time,0,773607211,0,774355019,0
time,0,772807211,0,773598813,0
time,0,772007211,0,772843346,0
time,0,771207211,0,772088617,0
time,0,770407211,0,771334625,0
time,0,769607211,0,770581369,0
time,0,768807211,0,769828849,0
time,0,768007211,0,769077064,0
time,0,767207211,0,768326013,0
time,0,766407211,0,767575695,0
time,0,765607211,0,766826110,0
time,0,764807211,0,766077257,0
time,0,764007211,0,765329135,0
time,0,763207211,0,764581744,0
time,0,762407211,0,763835083,0
time,0,761607211,0,763089151,0
time,0,760807211,0,762343947,0
time,0,760007211,0,761599471,0
time,0,759207211,0,760855722,0
time,0,758407211,0,760112699,0
time,0,757607211,0,759370402,0
time,0,756807211,0,758628830,0
time,0,756007211,0,757887982,0
time,0,755207211,0,757147858,0
time,0,754407211,0,756408456,0
time,0,753607211,0,755669776,0
time,0,752807211,0,754931818,0
time,0,752007211,0,754194580,0
time,0,751207211,0,753458062,0
time,0,750407211,0,752722264,0
time,0,749607211,0,751987184,0
time,0,748807211,0,751252822,0
time,0,748007211,0,750519177,0
time,0,747207211,0,749786249,0
time,0,746407211,0,749054036,0
time,0,745607211,0,748322538,0
time,0,744807211,0,747591755,0
time,0,744007211,0,746861685,0
time,0,743207211,0,746132328,0
time,0,742407211,0,745403684,0
time,0,741607211,0,744675751,0
time,0,740807211,0,743948529,0
time,0,740007211,0,743222017,0
time,0,739207211,0,742496215,0
time,0,738407211,0,741771122,0
time,0,737607211,0,741046737,0
time,0,736807211,0,740323059,0
time,0,736007211,0,739600088,0
time,0,735207211,0,738877823,0
time,0,734407211,0,738156263,0
time,0,733607211,0,737435408,0
time,0,732807211,0,736715257,0
time,0,732007211,0,735995809,0
time,0,731207211,0,735277064,0
time,0,730407211,0,734559020,0
time,0,729607211,0,733841678,0
time,0,728807211,0,733125036,0
time,0,728007211,0,732409094,0
time,0,727207211,0,731693851,0
time,0,726407211,0,730979307,0
time,0,725607211,0,730265461,0
time,0,724807211,0,729552312,0
time,0,724007211,0,728839859,0
time,0,723207211,0,728128102,0
time,0,722407211,0,727417040,0
time,0,721607211,0,726706672,0
time,0,720807211,0,725996998,0
time,0,720007211,0,725288017,0
time,0,719207211,0,724579728,0
time,0,718407211,0,723872131,0
time,0,717607211,0,723165225,0
time,0,716807211,0,722459009,0
time,0,716007211,0,721753483,0
time,0,715207211,0,721048646,0
time,0,714407211,0,720344497,0
time,0,713607211,0,719641036,0
time,0,712807211,0,718938262,0
time,0,712007211,0,718236174,0
time,0,711207211,0,717534772,0
time,0,710407211,0,716834055,0
time,0,709607211,0,716134022,0
time,0,708807211,0,715434673,0
time,0,708007211,0,714736007,0
time,0,707207211,0,714038023,0
time,0,706407211,0,713340721,0
time,0,705607211,0,712644100,0
time,0,704807211,0,711948159,0
time,0,704007211,0,711252898,0
time,0,703207211,0,710558316,0
time,0,702407211,0,709864412,0
time,0,701607211,0,709171186,0
time,0,700807211,0,708478637,0
time,0,700007211,0,707786764,0
time,0,699207211,0,707095566,0
time,0,698407211,0,706405043,0
time,0,697607211,0,705715195,0
time,0,696807211,0,705026021,0
time,0,696007211,0,704337520,0
time,0,695207211,0,703649691,0
time,0,694407211,0,702962534,0
time,0,693607211,0,702276048,0
time,0,692807211,0,701590232,0
time,0,692007211,0,700905086,0
time,0,691207211,0,700220609,0
time,0,690407211,0,699536800,0
time,0,689607211,0,698853659,0
time,0,688807211,0,698171185,0
time,0,688007211,0,697489378,0
time,0,687207211,0,696808237,0
time,0,686407211,0,696127761,0
time,0,685607211,0,695447949,0
time,0,684807211,0,694768801,0
time,0,684007211,0,694090316,0
time,0,683207211,0,693412494,0
time,0,682407211,0,692735334,0
time,0,681607211,0,692058835,0
time,0,680807211,0,691382997,0
time,0,680007211,0,690707819,0
